Desc	HOG	A_obtectus	A_verrucosus	B_siliquastri	C_chinensis	C_maculatus	C_septempunctata	D_melanogaster	D_ponderosae	I_luminosus	P_pyralis	R_ferrugineus	T_castaneum	T_molitor	Z_morio
(null)	N0.HOG0000037	10	48	6	6	8	3	3	0	1	0	5	22	21	39
(null)	N0.HOG0000038	1	5	4	2	1	1	3	5	33	11	1	7	7	13
(null)	N0.HOG0000039	4	3	3	2	3	5	3	6	8	1	5	3	6	4
(null)	N0.HOG0000040	1	1	0	0	1	1	1	1	1	1	0	1	1	1
(null)	N0.HOG0000041	1	0	0	1	1	1	1	1	1	1	1	1	1	1
(null)	N0.HOG0000042	1	1	0	1	0	1	1	0	1	1	0	1	1	1
(null)	N0.HOG0000044	2	2	1	1	3	1	2	0	1	2	1	1	2	0
(null)	N0.HOG0000045	14	28	16	15	18	17	2	14	37	22	12	19	11	29
(null)	N0.HOG0000049	62	22	9	9	18	24	1	2	45	18	0	7	11	15
(null)	N0.HOG0000050	5	0	2	4	5	0	1	2	9	3	4	14	6	7
(null)	N0.HOG0000053	1	3	0	5	4	3	1	7	2	7	0	31	20	2
(null)	N0.HOG0000054	0	0	0	0	13	0	5	0	2	7	0	0	0	0
(null)	N0.HOG0000056	7	46	9	6	6	4	3	7	11	4	24	19	44	33
(null)	N0.HOG0000059	7	10	1	7	6	7	6	9	57	32	10	20	26	3
(null)	N0.HOG0000061	2	3	2	2	4	2	8	2	2	3	8	3	3	3
(null)	N0.HOG0000064	0	0	0	0	0	0	2	0	0	0	0	0	0	0
(null)	N0.HOG0000066	0	1	0	0	0	0	1	1	0	0	0	1	1	0
(null)	N0.HOG0000067	2	3	2	4	4	11	1	3	0	0	6	3	3	5
(null)	N0.HOG0000068	16	1	4	5	48	21	1	0	43	39	2	4	2	4
(null)	N0.HOG0000069	39	11	7	6	19	8	1	2	19	48	0	2	2	18
(null)	N0.HOG0000071	7	11	2	16	4	0	1	0	7	3	0	2	2	13
(null)	N0.HOG0000072	39	8	1	15	11	10	1	1	21	0	0	0	1	5
(null)	N0.HOG0000073	15	14	15	13	18	5	1	16	21	10	18	16	15	4
(null)	N0.HOG0000075	6	22	0	1	10	67	4	4	12	10	0	2	19	19
(null)	N0.HOG0000078	5	34	7	6	7	7	9	9	2	5	7	17	41	17
(null)	N0.HOG0000079	2	1	2	2	1	3	1	1	1	0	1	1	2	3
(null)	N0.HOG0000082	0	1	0	0	0	0	18	1	0	0	0	1	2	0
(null)	N0.HOG0000083	0	1	0	0	0	0	3	0	6	0	0	1	1	1
(null)	N0.HOG0000084	0	0	0	0	0	0	4	0	1	0	0	0	0	0
(null)	N0.HOG0000085	2	7	4	7	7	10	13	9	6	7	6	2	5	21
(null)	N0.HOG0000086	4	8	4	5	3	1	6	1	10	4	1	5	4	7
(null)	N0.HOG0000087	23	0	2	3	5	3	1	3	3	28	1	1	8	9
(null)	N0.HOG0000088	5	6	3	2	8	14	1	2	10	4	0	5	4	9
(null)	N0.HOG0000089	7	8	6	5	8	5	6	10	31	43	10	7	5	17
(null)	N0.HOG0000090	8	0	4	14	33	4	3	14	37	17	1	4	19	9
(null)	N0.HOG0000092	0	7	0	0	0	0	2	0	4	4	0	8	9	19
(null)	N0.HOG0000093	0	28	0	0	0	0	2	6	1	1	0	28	37	9
(null)	N0.HOG0000095	7	13	14	8	14	2	15	7	20	11	5	10	5	29
(null)	N0.HOG0000100	2	1	3	4	2	0	10	3	3	3	2	1	1	1
(null)	N0.HOG0000101	0	14	0	0	0	6	3	2	24	11	1	15	19	24
(null)	N0.HOG0000103	2	1	1	1	1	1	1	1	0	0	0	1	1	0
(null)	N0.HOG0000104	2	0	1	1	1	1	1	1	1	2	0	1	1	1
(null)	N0.HOG0000106	0	3	0	0	0	0	1	0	0	0	2	2	2	2
(null)	N0.HOG0000107	0	0	0	0	0	0	1	0	1	0	0	1	1	1
(null)	N0.HOG0000108	14	5	9	8	10	8	4	2	8	4	15	7	6	7
(null)	N0.HOG0000112	3	4	2	3	3	5	19	0	6	1	2	7	3	13
(null)	N0.HOG0000113	5	5	2	4	6	10	1	9	1	19	6	5	0	2
(null)	N0.HOG0000118	1	1	1	0	1	1	3	1	1	1	1	1	1	1
(null)	N0.HOG0000119	4	10	2	2	3	5	5	5	10	7	9	9	12	39
