#FamilyID	pvalue	Significant at 0.05
N0.HOG0000576	0.032	y
N0.HOG0000579	0.51	n
N0.HOG0000580	0.53	n
N0.HOG0000581	0.441	n
N0.HOG0000582	0.001	y
N0.HOG0000583	0.088	n
N0.HOG0000585	0	y
N0.HOG0000587	0	y
N0.HOG0000590	0.003	y
N0.HOG0000591	0.21	n
N0.HOG0000596	0.105	n
N0.HOG0000599	0	y
N0.HOG0000602	0	y
N0.HOG0000608	0.025	y
N0.HOG0000609	0.717	n
N0.HOG0000610	0.003	y
N0.HOG0000611	0.868	n
N0.HOG0000612	0.158	n
N0.HOG0000613	0	y
N0.HOG0000614	0.136	n
N0.HOG0000617	0.871	n
N0.HOG0000618	0	y
N0.HOG0000620	0	y
N0.HOG0000621	0.664	n
N0.HOG0000622	0.26	n
N0.HOG0000623	0.404	n
N0.HOG0000624	0.032	y
N0.HOG0000625	0.001	y
N0.HOG0000626	0.001	y
N0.HOG0000628	0.025	y
N0.HOG0000629	0.302	n
N0.HOG0000639	0.095	n
N0.HOG0000640	0.003	y
N0.HOG0000644	0.892	n
N0.HOG0000645	0.615	n
N0.HOG0000647	0	y
N0.HOG0000648	0	y
N0.HOG0000649	0	y
N0.HOG0000650	0.151	n
N0.HOG0000651	0.447	n
N0.HOG0000652	0.189	n
N0.HOG0000653	0.003	y
N0.HOG0000654	0.001	y
N0.HOG0000661	0.333	n
N0.HOG0000662	0	y
N0.HOG0000664	0.823	n
N0.HOG0000665	0.742	n
N0.HOG0000666	0.811	n
N0.HOG0000667	0.499	n
N0.HOG0000668	0.036	y
N0.HOG0000669	0.001	y
N0.HOG0000670	0.252	n
N0.HOG0000671	0	y
N0.HOG0000673	0.002	y
N0.HOG0000680	0	y
N0.HOG0000682	0	y
N0.HOG0000685	0.26	n
N0.HOG0000686	0	y
N0.HOG0000688	0.024	y
N0.HOG0000689	0	y
N0.HOG0000690	0	y
N0.HOG0000691	0.875	n
N0.HOG0000692	0.528	n
N0.HOG0000693	0.02	y
N0.HOG0000694	0.011	y
N0.HOG0000696	0	y
N0.HOG0000697	0.874	n
N0.HOG0000699	0.198	n
N0.HOG0000700	0.571	n
N0.HOG0000705	0.173	n
N0.HOG0000706	0.296	n
N0.HOG0000707	0	y
N0.HOG0000708	0.114	n
N0.HOG0000709	0.001	y
N0.HOG0000712	0	y
N0.HOG0000713	0	y
N0.HOG0000715	0.003	y
N0.HOG0000719	0.986	n
N0.HOG0000720	0.051	n
N0.HOG0000721	0.001	y
N0.HOG0000725	0.099	n
N0.HOG0000726	0.836	n
N0.HOG0000727	0.438	n
N0.HOG0000728	0.09	n
N0.HOG0000729	0.44	n
N0.HOG0000730	0	y
N0.HOG0000731	0.181	n
N0.HOG0000732	0.434	n
N0.HOG0000735	0.027	y
N0.HOG0000736	0.978	n
N0.HOG0000737	0.281	n
N0.HOG0000739	0.726	n
N0.HOG0000740	0.168	n
N0.HOG0000741	0.613	n
N0.HOG0000742	0.755	n
N0.HOG0000743	0.168	n
N0.HOG0000744	0.427	n
N0.HOG0000745	0.717	n
N0.HOG0000746	0.074	n
N0.HOG0000750	0.005	y
N0.HOG0000755	0.115	n
N0.HOG0000756	0.026	y
N0.HOG0000761	0.037	y
N0.HOG0000764	0	y
N0.HOG0000767	0	y
N0.HOG0000768	0.366	n
N0.HOG0000769	0.726	n
N0.HOG0000770	0.336	n
N0.HOG0000771	0.922	n
N0.HOG0000774	0	y
N0.HOG0000775	0	y
N0.HOG0000776	0.583	n
N0.HOG0000777	0.008	y
N0.HOG0000781	0.121	n
N0.HOG0000782	0.218	n
N0.HOG0000783	0.188	n
N0.HOG0000785	0.107	n
N0.HOG0000786	0.001	y
N0.HOG0000792	0.226	n
N0.HOG0000793	0	y
