OG	slope	p-value	sig_after_multiple_testing
N0.HOG0000066	0.0	1.0	x
N0.HOG0000067	0.0002560887606465066	0.7429503742754502	n
N0.HOG0000068	0.004852272655926418	0.001243801276438283	n
N0.HOG0000069	0.0036607023483212773	0.02082352386046287	n
N0.HOG0000071	0.0016562138333219248	0.2884357019404659	n
N0.HOG0000072	0.005362759194656807	0.0029691753700609746	n
N0.HOG0000073	5.26418357370748e-05	0.9507289575265289	n
N0.HOG0000075	0.0036841290338373712	0.05212387421444953	n
N0.HOG0000078	-0.0013250686219130885	0.07434004974082446	n
N0.HOG0000079	-0.0006327175508336368	0.36039218047355115	x
N0.HOG0000082	-0.0003568310773079428	0.5596210703781823	n
N0.HOG0000083	0.0008092291737881843	0.10380535858570887	x
N0.HOG0000084	-1.194178690532194e-05	0.9607310165411815	x
N0.HOG0000085	0.0004030227989637785	0.7120654489331631	n
N0.HOG0000086	0.00037233499364619336	0.6602665484365793	n
N0.HOG0000087	0.0018078688913028926	0.25993050155357544	n
N0.HOG0000088	0.0024005713022968353	0.017515875993945104	n
N0.HOG0000089	0.0012618004020447371	0.09474391898146846	n
N0.HOG0000090	0.002096481655470689	0.17791707450785216	n
N0.HOG0000092	9.955458930244998e-05	0.9150714982964132	n
N0.HOG0000093	-0.0017638577992029763	0.1927592704897278	n
N0.HOG0000095	0.0009816549693176402	0.32692656558874944	n
N0.HOG0000100	-0.0006143200309080003	0.34625726684642366	x
N0.HOG0000101	0.0002651959714083138	0.7922972310202007	n
N0.HOG0000103	0.00040285494770591045	0.2025370315590372	x
N0.HOG0000104	0.00028552085838790816	0.4628054274562934	x
N0.HOG0000106	-0.00015077841556609785	0.7077359704662374	x
N0.HOG0000107	0.0	1.0	x
N0.HOG0000108	0.001010181062360834	0.13470341185047904	n
N0.HOG0000112	0.0015310179981557015	0.09238460471175834	n
N0.HOG0000113	0.0006682046135815991	0.5957305783594502	n
N0.HOG0000118	-9.46364221826911e-06	0.9607310165411815	x
N0.HOG0000119	0.0012193485370399128	0.1504641865813724	n
N0.HOG0000120	-0.0007356042096122305	0.3545773994549378	n
N0.HOG0000121	-0.00021108240331081974	0.9019426126819674	n
N0.HOG0000125	-7.353818346602502e-05	0.9519107822865428	n
N0.HOG0000126	0.0005347750300081732	0.7027149952915116	n
N0.HOG0000127	-0.001196790426162041	0.3092024387506062	n
N0.HOG0000130	-0.00037762781627186294	0.4226803958221059	x
N0.HOG0000131	0.0	1.0	x
N0.HOG0000132	0.0	1.0	x
N0.HOG0000135	0.0037817021544863804	0.01857773517722117	n
N0.HOG0000136	0.0005902693225352119	0.5346367453243273	n
N0.HOG0000137	0.00031671361413484854	0.1038419676708266	x
N0.HOG0000138	0.0009199656855718024	0.23894161718366644	n
N0.HOG0000139	0.003070772696708436	0.10064770855079813	n
