#FamilyID	pvalue	Significant at 0.05
N0.HOG0000770	0.902	n
N0.HOG0000784	0.778	n
N0.HOG0000792	0.836	n
N0.HOG0000793	0.9	n
N0.HOG0000795	0.543	n
N0.HOG0000796	0.978	n
N0.HOG0000797	0.872	n
N0.HOG0000799	0.254	n
N0.HOG0000800	0.165	n
N0.HOG0000801	0	y
N0.HOG0000803	0	y
N0.HOG0000807	0.829	n
N0.HOG0000808	0.797	n
N0.HOG0000809	0.748	n
N0.HOG0000810	0.862	n
N0.HOG0000811	0.645	n
N0.HOG0000812	0.559	n
N0.HOG0000814	0.88	n
N0.HOG0000816	0.999	n
N0.HOG0000822	0.877	n
N0.HOG0000825	0.007	y
N0.HOG0000826	0.103	n
N0.HOG0000827	0.809	n
N0.HOG0000828	0.779	n
N0.HOG0000829	0.926	n
N0.HOG0000830	0.382	n
N0.HOG0000831	0.289	n
N0.HOG0000832	0.708	n
N0.HOG0000833	0.932	n
N0.HOG0000834	0.805	n
N0.HOG0000840	0.874	n
N0.HOG0000841	0.842	n
N0.HOG0000842	0.716	n
N0.HOG0000844	0	y
N0.HOG0000845	0.651	n
N0.HOG0000848	0.83	n
N0.HOG0000849	0.861	n
N0.HOG0000851	0.798	n
N0.HOG0000852	0.346	n
N0.HOG0000853	0.797	n
N0.HOG0000854	0.943	n
N0.HOG0000856	0.829	n
N0.HOG0000857	0.346	n
N0.HOG0000858	0.62	n
N0.HOG0000859	0.695	n
N0.HOG0000860	0.806	n
N0.HOG0000861	0.002	y
N0.HOG0000862	0.535	n
N0.HOG0000863	0.763	n
N0.HOG0000865	0.473	n
N0.HOG0000866	0.015	y
N0.HOG0000867	0.995	n
N0.HOG0000868	0.353	n
N0.HOG0000870	0	y
N0.HOG0000872	0.918	n
N0.HOG0000884	0	y
N0.HOG0000885	0.827	n
N0.HOG0000886	0.836	n
N0.HOG0000887	0.914	n
N0.HOG0000889	0.734	n
N0.HOG0000890	0.583	n
N0.HOG0000891	0.785	n
N0.HOG0000897	0	y
N0.HOG0000901	0.902	n
N0.HOG0000902	0.696	n
N0.HOG0000903	0.697	n
N0.HOG0000904	0.903	n
N0.HOG0000906	0.448	n
N0.HOG0000908	0.124	n
N0.HOG0000909	0.686	n
N0.HOG0000910	0.816	n
N0.HOG0000911	0.333	n
N0.HOG0000912	0.49	n
N0.HOG0000913	0.46	n
N0.HOG0000914	0.639	n
N0.HOG0000915	0.298	n
N0.HOG0000916	0.734	n
N0.HOG0000917	0.73	n
N0.HOG0000926	0.716	n
N0.HOG0000927	0.999	n
N0.HOG0000933	0.797	n
N0.HOG0000934	0.589	n
N0.HOG0000935	0.605	n
N0.HOG0000936	0.851	n
N0.HOG0000937	0.868	n
