OG	slope	p-value	sig_after_multiple_testing
N0.HOG0000204	-0.021076635895499105	0.41849512320050364	n
N0.HOG0000210	0.01056363040267802	0.10537448730153388	x
N0.HOG0000211	0.0	1.0	x
N0.HOG0000212	0.01056363040267802	0.10537448730153388	x
N0.HOG0000213	0.0010747256463356698	0.8335025045736583	x
N0.HOG0000214	0.012117932934324144	0.3463724371170578	x
N0.HOG0000215	-0.03089307007163665	0.2605548413968577	n
N0.HOG0000216	0.0	1.0	x
N0.HOG0000217	-0.007507867826052929	0.1265403020193908	x
N0.HOG0000218	-0.0036719400759060825	0.8400166461416259	n
N0.HOG0000219	0.0	1.0	x
N0.HOG0000220	-0.00845396168190016	0.5922009795729835	n
N0.HOG0000221	0.024366080173842612	0.4812295724543668	n
N0.HOG0000232	-0.0006193004673385685	0.939632340699297	x
N0.HOG0000233	0.005330857531196192	0.7823625642355455	n
N0.HOG0000234	0.013886631461276411	0.523933131092468	n
N0.HOG0000239	-0.0047249928054452755	0.6107338302100247	x
N0.HOG0000240	-0.002812822206312447	0.7834705591848383	x
N0.HOG0000241	0.011393725518527737	0.49520037225485214	n
N0.HOG0000242	0.08564679817462584	0.008674494465845603	n
N0.HOG0000244	0.0158805319088845	0.31324110982270575	n
N0.HOG0000245	0.0	1.0	x
N0.HOG0000246	-0.003619376869415661	0.7430410449691186	x
N0.HOG0000247	-0.0025123348583914757	0.7430410449691186	x
N0.HOG0000248	0.002320704040980901	0.9235188924498923	n
N0.HOG0000260	0.007878487371191926	0.6523455909933353	n
N0.HOG0000262	0.01046161395850085	0.2758331939529223	x
N0.HOG0000263	0.016742958059722587	0.10537448730153379	x
N0.HOG0000264	0.0020062654253533564	0.8890339868665043	x
N0.HOG0000265	0.002948046874717458	0.7727382679291536	x
N0.HOG0000266	-0.008363166209007096	0.40165836853973236	x
N0.HOG0000267	0.0014626838740461308	0.7541292247590605	x
N0.HOG0000268	0.00017911250626169518	0.9919800424295128	n
N0.HOG0000271	-0.0015994492806459392	0.9069487978595263	x
N0.HOG0000273	0.007170459286793462	0.4041438956771515	x
N0.HOG0000274	-0.004317944242776344	0.6720557417096429	x
N0.HOG0000275	0.001015974012493584	0.816140238262959	x
