OG	correlation_coeff	p-value	sig_after_multiple_testing
N0.HOG0000933	0.1958041958041958	0.5419358857313175	n
N0.HOG0001856	0.04895104895104895	0.8799185788786749	n
N0.HOG0001765	0.47132395947782424	0.1219218933169533	n
N0.HOG0010520	-0.02175341351436112	0.9464999715858183	n
N0.HOG0000469	0.7202797202797203	0.008239768712338441	n
N0.HOG0013047	0.5730444602122539	0.05145667221240698	n
N0.HOG0007170	0.15227389460052784	0.6366098704708506	n
N0.HOG0001134	0.21678321678321683	0.49855598552418856	n
N0.HOG0000378	0.013986013986013986	0.9655902689187795	n
N0.HOG0000093	-0.36304680087981306	0.24608852288355584	n
N0.HOG0000715	-0.3025390007331775	0.33916814895060443	n
N0.HOG0000587	0.26829210001045384	0.3991505469046428	n
N0.HOG0000414	0.25379849088484935	0.42604438789552435	n
N0.HOG0000712	0.08056054385890982	0.80345110920634	n
N0.HOG0010910	0.6816069567833151	0.014641746073665321	n
N0.HOG0001420	0.19576052988617368	0.5420277922098978	n
N0.HOG0001223	0.37762237762237766	0.22620604493502663	n
N0.HOG0011280	0.11558686727582713	0.7205545635404205	n
N0.HOG0000120	-0.2027972027972028	0.5273023541661082	n
N0.HOG0000444	0.2937062937062937	0.35414764123292175	n
N0.HOG0003109	-0.04895104895104895	0.8799185788786749	n
N0.HOG0000138	0.3881623978238873	0.212448537206148	n
N0.HOG0002112	-0.5499132776456018	0.06397666975408141	n
N0.HOG0002290	0.5384615384615385	0.07089431754922315	n
N0.HOG0003221	0.5944055944055945	0.04152149441031855	n
N0.HOG0001010	-0.02816971260815995	0.9307493932264658	n
N0.HOG0013096	-0.34080347839165753	0.27834367571270824	n
N0.HOG0000399	0.1126788504326398	0.7273453279440116	n
N0.HOG0000775	0.1328671328671329	0.6805975082860818	n
N0.HOG0001910	0.07976251621932409	0.805365010461281	n
N0.HOG0010885	0.7986001739057148	0.0018404248554876482	n
N0.HOG0004366	-0.03915210597723474	0.9038457694604445	n
N0.HOG0003725	0.6235978540783521	0.030254948727508692	n
N0.HOG0000024	0.049036852783684234	0.8797094411808868	n
N0.HOG0002051	0.44833693973654165	0.14379811749123733	n
N0.HOG0000903	0.2867132867132868	0.36625146058358227	n
N0.HOG0002140	0.4825174825174825	0.11210929146889191	n
N0.HOG0001253	-0.30069930069930073	0.34225952894002465	n
N0.HOG0001114	0.11188811188811189	0.729194990751066	n
N0.HOG0000541	0.49737379252022584	0.09991387241786222	n
N0.HOG0000198	0.7622377622377624	0.003950448972542651	n
N0.HOG0001445	0.43356643356643365	0.1591057694121953	n
N0.HOG0001065	0.5314685314685316	0.07536233505348364	n
N0.HOG0005541	0.14685314685314685	0.6487957097846664	n
N0.HOG0000303	0.21678321678321683	0.49855598552418856	n
N0.HOG0001098	0.48686589549515064	0.10844282195191488	n
N0.HOG0000141	0.2657342657342658	0.40383308831471165	n
N0.HOG0003949	0.47132395947782424	0.1219218933169533	n
N0.HOG0001170	-0.2027972027972028	0.5273023541661082	n
N0.HOG0000767	-0.5454545454545455	0.06661188226688902	n
N0.HOG0000039	0.0979020979020979	0.762121655996299	n
N0.HOG0001097	0.3817869252443987	0.22070801550440275	n
N0.HOG0000108	0.6573426573426573	0.020185498509854096	n
N0.HOG0011509	0.49387116017853416	0.10270518334647254	n
N0.HOG0000142	0.034965034965034975	0.9140933424107598	n
N0.HOG0000640	0.19014556010507966	0.553900040754205	n
N0.HOG0001487	0.46153846153846156	0.13094806950717278	n
N0.HOG0000375	-0.013986013986013986	0.9655902689187795	n
N0.HOG0000750	0.04929699706427991	0.8790754104005534	n
N0.HOG0002142	-0.02175341351436112	0.9464999715858183	n
N0.HOG0000445	0.02097902097902098	0.9484022252365223	n
N0.HOG0000088	0.6083916083916086	0.035805997052029234	n
N0.HOG0000340	0.3471067595925146	0.2689693667618637	n
N0.HOG0017274	-0.08450913782447984	0.7939959959092632	n
N0.HOG0001099	0.38796177741078064	0.21270554169981246	n
N0.HOG0000090	0.4055944055944056	0.19083587400450033	n
N0.HOG0014559	0.1922012475246069	0.5495411215625509	n
N0.HOG0003120	0.19931981224774048	0.534557886000188	n
N0.HOG0002489	0.4125874125874127	0.18256397857316675	n
N0.HOG0000653	0.1958041958041958	0.5419358857313175	n
N0.HOG0000669	0.6293706293706295	0.02831967129576002	n
N0.HOG0000836	0.37324869205811934	0.23206767137485984	n
N0.HOG0003159	0.02816971260815995	0.9307493932264658	n
N0.HOG0000572	0.6013986013986015	0.03858845292201944	n
N0.HOG0000260	0.6083916083916086	0.035805997052029234	n
N0.HOG0001569	-0.6164632921377448	0.0327760380837606	n
N0.HOG0000394	0.3625568919060187	0.24677408192533515	n
N0.HOG0002165	0.3353138689291874	0.28665785786011205	n
N0.HOG0000016	-0.18181818181818185	0.5717012385276553	n
N0.HOG0012076	-0.29772374904379717	0.34729146092788776	n
N0.HOG0000902	-0.08756580854229329	0.7866940142086327	n
N0.HOG0001379	0.7901606842678284	0.0022255407179782834	n
N0.HOG0000894	0.28021058733533855	0.3776981560766677	n
N0.HOG0000071	0.31468531468531474	0.31913878550330455	n
N0.HOG0002197	-0.06293706293706294	0.8459309212287789	n
N0.HOG0000385	0.31905006487729637	0.3121040651249244	n
N0.HOG0000522	0.0037323307483066084	0.9908151378972104	n
N0.HOG0000648	0.07976251621932409	0.805365010461281	n
N0.HOG0000688	0.4155032609703593	0.17918196554757054	n
N0.HOG0000304	0.4343264103697747	0.15829394366797925	n
N0.HOG0000680	0.5384615384615385	0.07089431754922315	n
N0.HOG0000112	0.44755244755244755	0.14458630130334754	n
N0.HOG0000554	0.31468531468531474	0.31913878550330455	n
N0.HOG0000854	0.1541158230344362	0.6324877788515912	n
N0.HOG0000756	0.47132395947782424	0.1219218933169533	n
N0.HOG0000121	0.16783216783216784	0.602099427786538	n
N0.HOG0000242	0.7482517482517484	0.005124081698753058	n
N0.HOG0001324	0.13525272973953817	0.67513751307536	n
N0.HOG0000008	0.19034886816363702	0.5534683093202064	n
N0.HOG0000078	-0.46153846153846156	0.13094806950717278	n
N0.HOG0001501	0.3076923076923077	0.3305892594121097	n
N0.HOG0000161	0.14360792600936098	0.6561292074448725	n
N0.HOG0000221	0.3426573426573427	0.27556745095678037	n
N0.HOG0000424	0.34080347839165753	0.27834367571270824	n
N0.HOG0001260	0.3239516949938394	0.3043074354691464	n
N0.HOG0000921	0.10507897025075195	0.7451766219125175	n
N0.HOG0000654	-0.06993006993006995	0.8290236405313092	n
N0.HOG0000786	0.46153846153846156	0.13094806950717278	n
N0.HOG0000915	0.2937062937062937	0.35414764123292175	n
N0.HOG0000316	0.09090909090909093	0.7787253962454419	n
N0.HOG0001928	0.4295881172744393	0.1633986208085632	n
N0.HOG0011923	-0.33355234055353716	0.2893552505936301	n
N0.HOG0001973	0.0	1.0	n
N0.HOG0000709	-0.3076923076923077	0.3305892594121097	n
N0.HOG0000468	0.17482517482517487	0.5868236643627043	n
N0.HOG0000862	0.521139683250959	0.08230846633904164	n
N0.HOG0002740	0.47132395947782424	0.1219218933169533	n
N0.HOG0005786	-0.02097902097902098	0.9484022252365223	n
N0.HOG0012011	0.3353138689291874	0.28665785786011205	n
N0.HOG0000165	0.4859275424907591	0.1092271849290281	n
N0.HOG0001272	-0.1258741258741259	0.6966831093957659	n
N0.HOG0000409	0.4769438364499504	0.11692752927780688	n
N0.HOG0002614	0.6549922478963537	0.020793709126082544	n
N0.HOG0000985	-0.05954474980875943	0.8541546246233473	n
N0.HOG0000095	0.35664335664335667	0.25513775175895725	n
N0.HOG0000127	-0.04895104895104895	0.8799185788786749	n
N0.HOG0001225	-0.2746546979295595	0.38762285059130586	n
N0.HOG0001579	0.45558814228054967	0.13664363190657736	n
N0.HOG0000505	0.39860139860139865	0.19933549461780897	n
N0.HOG0000072	0.7482517482517484	0.005124081698753058	n
N0.HOG0001419	-0.06993006993006995	0.8290236405313092	n
N0.HOG0000315	0.27272727272727276	0.3910967709418962	n
N0.HOG0000467	0.16783216783216784	0.602099427786538	n
N0.HOG0000827	0.4785750973159446	0.11550349090042433	n
N0.HOG0001072	-0.17402730811488895	0.5885588956076864	n
N0.HOG0012589	0.4060637189347409	0.19027361142401095	n
N0.HOG0002240	-0.02816971260815995	0.9307493932264658	n
N0.HOG0001942	-0.1377716189242871	0.6693880133068077	n
N0.HOG0001925	0.7112852433560386	0.009491918077715033	n
N0.HOG0001299	0.5174825174825175	0.08486877113393493	n
N0.HOG0000506	-0.1328671328671329	0.6805975082860818	n
N0.HOG0000777	-0.14685314685314685	0.6487957097846664	n
N0.HOG0000050	0.3636363636363637	0.2452650007307772	n
N0.HOG0001194	-0.007251137838120374	0.9821566539187246	n
N0.HOG0001703	0.006993006993006993	0.9827917689028476	n
N0.HOG0003058	0.5034965034965035	0.09515736659412469	n
N0.HOG0002146	-0.16783216783216784	0.602099427786538	n
N0.HOG0000690	0.23076923076923078	0.470531995381542	n
N0.HOG0002468	0.04895104895104895	0.8799185788786749	n
N0.HOG0000514	0.1958041958041958	0.5419358857313175	n
N0.HOG0000092	0.11570225319750486	0.7202854941958451	n
N0.HOG0011866	0.5288974835954515	0.07705239037267651	n
N0.HOG0001145	0.5174825174825175	0.08486877113393493	n
N0.HOG0000626	-0.17482517482517487	0.5868236643627043	n
N0.HOG0000884	-0.09090909090909093	0.7787253962454419	n
N0.HOG0000798	-0.11972127858467978	0.7109318595190937	n
N0.HOG0000686	0.2517482517482518	0.42991878503288405	n
N0.HOG0000241	0.21678321678321683	0.49855598552418856	n
N0.HOG0000550	0.4518395720782334	0.14031277047271032	n
