OG	correlation_coeff	p-value	sig_after_multiple_testing
N0.HOG0000671	0.3238946949025783	0.3043974704848051	n
N0.HOG0000608	0.5563518240111589	0.060300025541073894	n
N0.HOG0000319	0.8181818181818183	0.0011431050868040604	n
N0.HOG0001037	0.0979020979020979	0.762121655996299	n
N0.HOG0001167	-0.08450913782447984	0.7939959959092632	n
N0.HOG0000649	-0.04350682702872224	0.8932021742511844	n
N0.HOG0000053	-0.3846153846153847	0.21702022575997748	n
N0.HOG0001234	0.2206658375265791	0.4907024914340439	n
N0.HOG0007150	0.19408119891194364	0.5455673370841421	n
N0.HOG0000278	0.4755244755244756	0.11817595701303213	n
N0.HOG0014474	0.3846153846153847	0.21702022575997748	n
N0.HOG0008866	0.5945933027258705	0.04144076209354325	n
N0.HOG0001560	-0.22377622377622378	0.48445166145539886	n
N0.HOG0000086	0.37324869205811934	0.23206767137485984	n
N0.HOG0000089	0.1398601398601399	0.6646331617926677	n
N0.HOG0001283	-0.08391608391608392	0.7954145018538977	n
N0.HOG0011197	-0.10401148749662617	0.7476906488755444	n
N0.HOG0000302	0.034965034965034975	0.9140933424107598	n
N0.HOG0001933	0.03915210597723474	0.9038457694604445	n
N0.HOG0000233	0.31905006487729637	0.3121040651249244	n
N0.HOG0000401	0.2676122697775195	0.40039240027539647	n
N0.HOG0002702	-0.24168163157672948	0.4491887440384277	n
N0.HOG0001270	0.04225456891223992	0.8962612978961098	n
N0.HOG0000529	0.18864196516304008	0.5570972684616313	n
N0.HOG0001999	0.0	1.0	n
N0.HOG0000774	0.2797202797202798	0.37856866966230307	n
N0.HOG0000450	-0.007251137838120374	0.9821566539187246	n
N0.HOG0001904	0.44055944055944063	0.15173503571673022	n
N0.HOG0004729	0.5944055944055945	0.04152149441031855	n
N0.HOG0001088	0.3076923076923077	0.3305892594121097	n
N0.HOG0000565	0.12959739664259406	0.6881039438604584	n
N0.HOG0011218	0.11558686727582713	0.7205545635404205	n
N0.HOG0001442	0.06993006993006995	0.8290236405313092	n
N0.HOG0000307	-0.028474258892534354	0.9300023256880593	n
N0.HOG0000397	0.17482517482517487	0.5868236643627043	n
N0.HOG0002091	0.2767079549936468	0.3839396014534967	n
N0.HOG0000582	-0.18881118881118883	0.5567370561768314	n
N0.HOG0001069	0.5174825174825175	0.08486877113393493	n
N0.HOG0014524	-0.41331061631962435	0.1817214774016019	n
N0.HOG0002511	-0.007118564723133589	0.9824828407045115	n
