OG	correlation_coeff	p-value	sig_after_multiple_testing
N0.HOG0001167	-0.07746670967243986	0.81087645719889	n
N0.HOG0000649	-0.2610409621723334	0.41249631869094106	n
N0.HOG0000053	-0.06993006993006995	0.8290236405313092	n
N0.HOG0001234	0.44833693973654165	0.14379811749123733	n
N0.HOG0007150	-0.11196992244919826	0.7290035612225261	n
N0.HOG0000278	0.2937062937062937	0.35414764123292175	n
N0.HOG0014474	0.04195804195804196	0.8969858708195542	n
N0.HOG0008866	0.33355234055353716	0.2893552505936301	n
N0.HOG0001560	-0.3356643356643357	0.2861229029149875	n
N0.HOG0000086	0.09859399412855982	0.7604837400712293	n
N0.HOG0000089	0.04195804195804196	0.8969858708195542	n
N0.HOG0001283	-0.1328671328671329	0.6805975082860818	n
N0.HOG0011197	-0.39524365248717946	0.20349776594623323	n
N0.HOG0000302	0.07692307692307693	0.8121826980280591	n
N0.HOG0001933	-0.03915210597723474	0.9038457694604445	n
N0.HOG0000233	0.050757964866842614	0.8755159205894297	n
N0.HOG0000401	0.07042428152039987	0.827831199192635	n
N0.HOG0002702	-0.3642737635359401	0.2443764872590352	n
N0.HOG0001270	-0.31690926684179943	0.31554360361640527	n
N0.HOG0000529	-0.14593057682423857	0.6508776410237396	n
N0.HOG0001999	0.1328671328671329	0.6805975082860818	n
N0.HOG0000774	0.5104895104895105	0.08991373630263913	n
N0.HOG0000450	0.1087670675718056	0.7365084730479962	n
N0.HOG0001904	0.30069930069930073	0.34225952894002465	n
N0.HOG0004729	0.2657342657342658	0.40383308831471165	n
N0.HOG0001088	0.2377622377622378	0.4568008526399232	n
N0.HOG0000565	0.03502632341691732	0.9139432528752413	n
N0.HOG0011218	0.0	1.0	n
N0.HOG0001442	0.02097902097902098	0.9484022252365223	n
N0.HOG0000307	-0.1922012475246069	0.5495411215625509	n
N0.HOG0000397	0.2377622377622378	0.4568008526399232	n
N0.HOG0002091	0.09106844088398502	0.7783460719179525	n
N0.HOG0000582	-0.04895104895104895	0.8799185788786749	n
N0.HOG0001069	0.5454545454545455	0.06661188226688902	n
N0.HOG0014524	-0.07005264683383464	0.8287278541011254	n
N0.HOG0002511	0.12101560029327099	0.7079272414616193	n
N0.HOG0001918	0.20665530815981217	0.5193022970166132	n
N0.HOG0000682	0.28169712608159947	0.37506523624200017	n
N0.HOG0000054	0.21355694169400766	0.5051242606511095	n
N0.HOG0001100	-0.18881118881118883	0.5567370561768314	n
N0.HOG0000602	0.21834391465156391	0.4953923823848684	n
N0.HOG0001786	0.4155032609703593	0.17918196554757054	n
N0.HOG0002095	-0.09106844088398502	0.7783460719179525	n
N0.HOG0006995	0.29004551352481495	0.3604571272621032	n
N0.HOG0001275	0.007005264683383463	0.9827616094034646	n
N0.HOG0002009	0.06293706293706294	0.8459309212287789	n
N0.HOG0001378	0.2206658375265791	0.4907024914340439	n
N0.HOG0010108	0.04195804195804196	0.8969858708195542	n
N0.HOG0001328	0.2392875486579723	0.4538312350261742	n
N0.HOG0000866	-0.07355527917552636	0.8202845257024424	n
N0.HOG0000885	-0.06993006993006995	0.8290236405313092	n
N0.HOG0000931	0.05800910270496299	0.8578817998209817	n
N0.HOG0000696	0.006993006993006993	0.9827917689028476	n
N0.HOG0002010	-0.0640670825082023	0.8431946004212494	n
N0.HOG0000067	0.2451842639184212	0.4424376657583864	n
N0.HOG0001652	-0.2183152727132396	0.49545035953231165	n
N0.HOG0002393	0.54641064530391	0.06604060406823514	n
N0.HOG0000462	-0.2867132867132868	0.36625146058358227	n
N0.HOG0002872	0.13380613488875975	0.6784466863299407	n
N0.HOG0000113	0.2797202797202798	0.37856866966230307	n
N0.HOG0000859	0.1015763379090602	0.7534340837808129	n
N0.HOG0001747	0.2491497653096756	0.43485380702768006	n
N0.HOG0001108	0.07042428152039987	0.827831199192635	n
N0.HOG0002086	0.3846153846153847	0.21702022575997748	n
N0.HOG0001091	-0.2610409621723334	0.41249631869094106	n
N0.HOG0000852	0.034965034965034975	0.9140933424107598	n
N0.HOG0000489	0.2517482517482518	0.42991878503288405	n
N0.HOG0000543	0.6013986013986015	0.03858845292201944	n
N0.HOG0000624	0.007042428152039987	0.9826701704764307	n
N0.HOG0002693	0.04350682702872224	0.8932021742511844	n
N0.HOG0000056	-0.5104895104895105	0.08991373630263913	n
N0.HOG0000027	-0.18181818181818185	0.5717012385276553	n
N0.HOG0001311	0.01751316170845866	0.9569188239005484	n
N0.HOG0000370	0.2676122697775195	0.40039240027539647	n
N0.HOG0000472	-0.3737246479645134	0.23142544762530667	n
N0.HOG0001351	-0.2527090476712424	0.42810100436041054	n
N0.HOG0002957	-0.25919479328518813	0.41592926127477936	n
N0.HOG0000030	-0.027972027972027972	0.9312343512018808	n
N0.HOG0001600	0.2867132867132868	0.36625146058358227	n
N0.HOG0000179	-0.2867132867132868	0.36625146058358227	n
N0.HOG0001396	0.2633868947559428	0.40815452366975424	n
N0.HOG0002979	0.07692307692307693	0.8121826980280591	n
N0.HOG0000694	0.11188811188811189	0.729194990751066	n
N0.HOG0000085	-0.1328671328671329	0.6805975082860818	n
N0.HOG0000662	0.0	1.0	n
N0.HOG0000941	0.5359027482788349	0.07250748303033829	n
N0.HOG0000492	-0.02097902097902098	0.9484022252365223	n
N0.HOG0000889	0.06338185336835989	0.844853681587023	n
N0.HOG0001247	0.36304680087981306	0.24608852288355584	n
N0.HOG0000888	0.22377622377622378	0.48445166145539886	n
N0.HOG0008202	0.055944055944055944	0.8628980736949712	n
N0.HOG0002225	0.49387116017853416	0.10270518334647254	n
N0.HOG0002040	0.7272727272727274	0.007355028857805126	n
N0.HOG0001241	0.37762237762237766	0.22620604493502663	n
N0.HOG0000566	0.1760607038009997	0.5841405301281157	n
N0.HOG0000590	0.1398601398601399	0.6646331617926677	n
N0.HOG0001294	-0.16677617027676858	0.6044191985316112	n
N0.HOG0001655	0.54641064530391	0.06604060406823514	n
N0.HOG0000867	-0.08391608391608392	0.7954145018538977	n
N0.HOG0001236	0.021015794050150385	0.9483118884972519	n
